fold,n_test,accuracy,f1_macro,f1_weighted
1,72,0.5138888888888888,0.3920473049991858,0.5965131900341964
2,72,0.6111111111111112,0.38095238095238093,0.6970390720390721
3,71,0.49295774647887325,0.36473804296353696,0.5903833175989944
4,68,0.47058823529411764,0.3424521072796935,0.5705104800540906
5,68,0.5441176470588235,0.3819444444444444,0.6559436274509803
